Bookmark,Frame#,Source Port,Destination Port,Length,Checksum,Frame Size,Delta,Timestamp,
="",17,,,,,413,="",="2/5/2026 4:51:38.568172340 PM",
="",18,,,,,400,="",="2/5/2026 4:51:38.568992575 PM",
="",26,,,,,427,="",="2/5/2026 4:51:38.589227290 PM",
="",27,,,,,424,="",="2/5/2026 4:51:38.590000830 PM",
="",28,,,,,315,="",="2/5/2026 4:51:38.590463855 PM",
="",29,,,,,397,="",="2/5/2026 4:51:38.592511245 PM",
="",50,,,,,413,="",="2/5/2026 4:51:38.672350540 PM",
="",51,,,,,400,="",="2/5/2026 4:51:38.672781585 PM",
="",68,,,,,365,="",="2/5/2026 4:51:38.725661480 PM",
="",74,,,,,421,="",="2/5/2026 4:51:38.772670835 PM",
="",75,,,,,413,="",="2/5/2026 4:51:38.773107695 PM",
="",76,,,,,400,="",="2/5/2026 4:51:38.773727620 PM",
="",86,,,,,404,="",="2/5/2026 4:51:38.807821270 PM",
="",102,,,,,113,="",="2/5/2026 4:51:38.871668155 PM",
="",103,,,,,229,="",="2/5/2026 4:51:38.871659445 PM",
="",104,,,,,418,="",="2/5/2026 4:51:38.872178035 PM",
="",108,,,,,424,="",="2/5/2026 4:51:38.898693485 PM",
="",122,,,,,113,="",="2/5/2026 4:51:38.951944550 PM",
="",127,,,,,343,="",="2/5/2026 4:51:38.973345270 PM",
="",134,,,,,367,="",="2/5/2026 4:51:38.994091165 PM",
="",147,,,,,378,="",="2/5/2026 4:51:39.043385330 PM",
="",180,,,,,427,="",="2/5/2026 4:51:39.101231055 PM",
="",181,,,,,466,="",="2/5/2026 4:51:39.105355500 PM",
="",189,,,,,378,="",="2/5/2026 4:51:39.144280890 PM",
="",199,,,,,421,="",="2/5/2026 4:51:39.181770585 PM",
="",211,,,,,427,="",="2/5/2026 4:51:39.203631830 PM",
="",212,,,,,397,="",="2/5/2026 4:51:39.205177840 PM",
="",224,,,,,99,="",="2/5/2026 4:51:39.253131635 PM",
="",233,,,,,421,="",="2/5/2026 4:51:39.284171360 PM",
="",234,,,,,413,="",="2/5/2026 4:51:39.285010485 PM",
="",235,,,,,400,="",="2/5/2026 4:51:39.285763355 PM",
="",237,,,,,125,="",="2/5/2026 4:51:39.297885665 PM",
="",241,,,,,424,="",="2/5/2026 4:51:39.306806280 PM",
="",242,,,,,113,="",="2/5/2026 4:51:39.309717570 PM",
="",256,,,,,421,="",="2/5/2026 4:51:39.346271300 PM",
