Bookmark,Frame#,SSI,Type,Subtype,Seq #,Addresses,Receive Addr,Transmit Addr,Address 3,ToDS,FromDS,Frag,Retry,More,Protected,FCS,Frame Size,Delta,Timestamp,
="",11,,Control,ACK,,,Google Inc. 38:86:f7,,,0,0,0,0,0,0,,99,="",="2/6/2026 4:56:58.214686435 PM",
="",12,,Mgmt,Beacon,3163,,ff:ff:ff:ff:ff:ff  (DA),46:d9:e7:7b:b2:e6  (SA),46:d9:e7:7b:b2:e6  (BSSID),0,0,0,0,0,0,,314,="",="2/6/2026 4:56:58.216622675 PM",
="",13,,Mgmt,Beacon,3803,,ff:ff:ff:ff:ff:ff  (DA),Cisco Meraki 68:49:92,Cisco Meraki 68:49:92,0,0,0,0,0,0,,427,="",="2/6/2026 4:56:58.219337770 PM",
="",14,,Mgmt,Beacon,1421,,ff:ff:ff:ed:c7:fe  (DA),6e:49:92:17:c4:c0  (SA),6e:49:92:17:c4:1e  (BSSID),0,0,0,0,0,0,,424,="",="2/6/2026 4:56:58.220177955 PM",
="",15,,Mgmt,Beacon,3667,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:17:c4:c0  (SA),56:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,397,="",="2/6/2026 4:56:58.221173570 PM",
="",16,,Mgmt,Beacon,262,,ff:ff:ff:ff:ff:ff  (DA),Google Inc. f0:72:ea,Google Inc. f0:72:ea,0,0,0,0,0,0,,303,="",="2/6/2026 4:56:58.226388755 PM",
="",20,,Mgmt,Beacon,29,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/6/2026 4:56:58.233337160 PM",
="",24,,Mgmt,Beacon,1135,,ff:ff:ff:ff:ff:ff  (DA),5e:f4:ab:1f:fa:a4  (SA),5e:f4:ab:1f:fa:a4  (BSSID),0,0,0,0,0,0,,322,="",="2/6/2026 4:56:58.242217160 PM",
="",25,,Mgmt,Beacon,466,,ff:ff:ff:ff:ff:ff  (DA),Commscope ac:db:48,Commscope ac:db:48,0,0,0,0,0,0,,362,="",="2/6/2026 4:56:58.246432960 PM",
="",26,,Mgmt,Beacon,753,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,367,="",="2/6/2026 4:56:58.250790140 PM",
="",27,,Mgmt,Beacon,340,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,368,="",="2/6/2026 4:56:58.253251790 PM",
="",28,,Mgmt,Beacon,4013,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,369,="",="2/6/2026 4:56:58.255723520 PM",
="",29,,Mgmt,Beacon,3863,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,365,="",="2/6/2026 4:56:58.258200875 PM",
="",30,,Data,Data,2423,From AP,01:00:5e:00:00:fb  (DA),WatchGuard Technologies Inc. 00:01:21,4a:e4:fc:27:0d:f8  (SA),0,1,0,0,1,1,,229,="",="2/6/2026 4:56:58.260648395 PM",
="",31,,Data,Data,2424,From AP,33:33:00:00:00:fb  (DA),WatchGuard Technologies Inc. 00:01:21,4a:e4:fc:27:0d:f8  (SA),0,1,0,0,0,1,,229,="",="2/6/2026 4:56:58.262150300 PM",
="",32,,Mgmt,Beacon,2515,,ff:ff:ff:ff:ff:ff  (DA),82:da:c2:26:66:ea  (SA),82:da:c2:26:66:ea  (BSSID),0,0,0,0,0,0,,388,="",="2/6/2026 4:56:58.269706415 PM",
