Bookmark,Frame#,Data Rate (Mb/s),Duration,Freq,Channel,Antenna,Version,Bad FCS,Frame Size,Delta,Timestamp,
="",11,1.0,304 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/6/2026 4:56:58.214686435 PM",
="",12,1.0,2024 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,314,="",="2/6/2026 4:56:58.216622675 PM",
="",13,11.0,441 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),True,427,="",="2/6/2026 4:56:58.219337770 PM",
="",14,11.0,439 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),True,424,="",="2/6/2026 4:56:58.220177955 PM",
="",15,11.0,419 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,397,="",="2/6/2026 4:56:58.221173570 PM",
="",16,1.0,1936 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,303,="",="2/6/2026 4:56:58.226388755 PM",
="",20,1.0,2744 탎,2462 MHz,11,-84 dBm,Wi-Fi 1 (802.11b),False,404,="",="2/6/2026 4:56:58.233337160 PM",
="",24,1.0,2088 탎,2462 MHz,11,-80 dBm,Wi-Fi 1 (802.11b),False,322,="",="2/6/2026 4:56:58.242217160 PM",
="",25,1.0,2408 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,362,="",="2/6/2026 4:56:58.246432960 PM",
="",26,1.0,2448 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,367,="",="2/6/2026 4:56:58.250790140 PM",
="",27,1.0,2456 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,368,="",="2/6/2026 4:56:58.253251790 PM",
="",28,1.0,2464 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,369,="",="2/6/2026 4:56:58.255723520 PM",
="",29,1.0,2432 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,365,="",="2/6/2026 4:56:58.258200875 PM",
="",30,1.0,1416 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,229,="",="2/6/2026 4:56:58.260648395 PM",
="",31,1.0,1576 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,229,="",="2/6/2026 4:56:58.262150300 PM",
="",32,6.0,434 탎,2462 MHz,11,-86 dBm,Wi-Fi 3 (802.11g),True,388,="",="2/6/2026 4:56:58.269706415 PM",
="",33,6.0,337 탎,2462 MHz,11,-68 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/6/2026 4:56:58.270594835 PM",
="",34,6.0,337 탎,2462 MHz,11,-69 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/6/2026 4:56:58.271003695 PM",
="",35,6.0,337 탎,2462 MHz,11,-69 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/6/2026 4:56:58.271340860 PM",
="",37,6.0,371 탎,2462 MHz,11,-69 dBm,Wi-Fi 3 (802.11g),False,341,="",="2/6/2026 4:56:58.271711105 PM",
="",38,1.0,416 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,113,="",="2/6/2026 4:56:58.272322910 PM",
="",39,11.0,431 탎,2462 MHz,11,-80 dBm,Wi-Fi 1 (802.11b),False,413,="",="2/6/2026 4:56:58.272741520 PM",
="",40,11.0,421 탎,2462 MHz,11,-80 dBm,Wi-Fi 1 (802.11b),False,400,="",="2/6/2026 4:56:58.275168030 PM",
="",41,1.0,2096 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/6/2026 4:56:58.277311225 PM",
="",42,6.0,369 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,339,="",="2/6/2026 4:56:58.281151400 PM",
="",43,1.0,2248 탎,2462 MHz,11,-76 dBm,Wi-Fi 1 (802.11b),False,342,="",="2/6/2026 4:56:58.288747995 PM",
="",44,1.0,2104 탎,2462 MHz,11,-79 dBm,Wi-Fi 1 (802.11b),False,324,="",="2/6/2026 4:56:58.296176845 PM",
="",45,1.0,2248 탎,2462 MHz,11,-80 dBm,Wi-Fi 1 (802.11b),False,342,="",="2/6/2026 4:56:58.298281345 PM",
="",46,11.0,439 탎,2462 MHz,11,-85 dBm,Wi-Fi 1 (802.11b),True,424,="",="2/6/2026 4:56:58.323335685 PM",
="",47,1.0,1936 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,303,="",="2/6/2026 4:56:58.328914070 PM",
="",50,1.0,304 탎,2462 MHz,11,-85 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/6/2026 4:56:58.352691990 PM",
="",51,1.0,2464 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,369,="",="2/6/2026 4:56:58.358121280 PM",
="",52,1.0,2432 탎,2462 MHz,11,-80 dBm,Wi-Fi 1 (802.11b),False,365,="",="2/6/2026 4:56:58.360601290 PM",
="",53,11.0,447 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),True,435,="",="2/6/2026 4:56:58.370045015 PM",
="",54,11.0,447 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,435,="",="2/6/2026 4:56:58.370492060 PM",
="",56,11.0,446 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),True,434,="",="2/6/2026 4:56:58.370939105 PM",
="",57,11.0,446 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,434,="",="2/6/2026 4:56:58.371385420 PM",
="",58,11.0,419 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,397,="",="2/6/2026 4:56:58.371831740 PM",
="",59,6.0,337 탎,2462 MHz,11,-70 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/6/2026 4:56:58.373380015 PM",
="",60,6.0,397 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,360,="",="2/6/2026 4:56:58.373717180 PM",
="",61,6.0,337 탎,2462 MHz,11,-70 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/6/2026 4:56:58.374114345 PM",
="",62,11.0,361 탎,2462 MHz,11,-81 dBm,Wi-Fi 1 (802.11b),False,229,="",="2/6/2026 4:56:58.374451515 PM",
="",63,6.0,337 탎,2462 MHz,11,-70 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/6/2026 4:56:58.374812740 PM",
="",64,6.0,371 탎,2462 MHz,11,-71 dBm,Wi-Fi 3 (802.11g),False,341,="",="2/6/2026 4:56:58.375149910 PM",
="",65,11.0,421 탎,2462 MHz,11,-81 dBm,Wi-Fi 1 (802.11b),True,400,="",="2/6/2026 4:56:58.382617575 PM",
="",66,1.0,2096 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/6/2026 4:56:58.383039165 PM",
="",67,6.0,369 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),False,339,="",="2/6/2026 4:56:58.385135665 PM",
="",68,1.0,2248 탎,2462 MHz,11,-79 dBm,Wi-Fi 1 (802.11b),False,342,="",="2/6/2026 4:56:58.389567295 PM",
="",69,6.0,535 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),True,464,="",="2/6/2026 4:56:58.391815795 PM",
="",70,1.0,2232 탎,2462 MHz,11,-79 dBm,Wi-Fi 1 (802.11b),False,340,="",="2/6/2026 4:56:58.392351625 PM",
="",71,6.0,414 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),True,373,="",="2/6/2026 4:56:58.399744115 PM",
="",75,11.0,441 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),True,427,="",="2/6/2026 4:56:58.424139640 PM",
="",76,1.0,1936 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,303,="",="2/6/2026 4:56:58.431083420 PM",
="",80,1.0,2088 탎,2462 MHz,11,-85 dBm,Wi-Fi 1 (802.11b),False,322,="",="2/6/2026 4:56:58.448653480 PM",
="",81,1.0,416 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,113,="",="2/6/2026 4:56:58.451691130 PM",
="",82,1.0,304 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/6/2026 4:56:58.452107785 PM",
="",83,1.0,2448 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,367,="",="2/6/2026 4:56:58.456666100 PM",
="",84,11.0,447 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),True,435,="",="2/6/2026 4:56:58.474273715 PM",
="",85,11.0,447 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,435,="",="2/6/2026 4:56:58.474720760 PM",
="",86,6.0,337 탎,2462 MHz,11,-73 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/6/2026 4:56:58.475499710 PM",
